CCc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl	ZINC00001409
Cc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl	ZINC00001723
C[NH+]1CC[C@@]23CCCC[C@H]2[C@@H]1Cc4c3cc(cc4)O	ZINC00002433
CN(c1nc(nc(n1)N2CCCC2)N3CCCC3)N	ZINC00040832
Cc1cc(c(c(c1C)C(=O)[O-])C)C	ZINC00042485
Cc1ccccc1N/N=C(/C#N)\C(=S)N	ZINC00046208
c1c2c([nH]c1/C=N/NC(=O)c3c4c([nH]n3)CCC4)CCCC2	ZINC00046618
Cc1ccc(cc1)[C@]2(C(=O)NC(=O)N2)c3ccccc3	ZINC00047506
Cc1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)c3ccccc3	ZINC00047507
c1ccc2cc3c(cc2c1)C(=O)CCN3	ZINC00051426
c1ccc(cc1)c2c(nnn2c3c(non3)N)C(=O)[O-]	ZINC00052010
CC(=O)NN1[C@@H](Nc2ccccc2C1=O)c3ccc(c(c3)OC)OC	ZINC00052719
Cc1c(c2ccccc2[nH]1)/C=N/NC(=O)c3c4c([nH]n3)CCCC4	ZINC00054122
c1ccc2c(c1)c(c[nH]2)/C=N/NC(=O)c3c4c([nH]n3)CCCC4	ZINC00054128
c1c2c([nH]c1/C=N/NC(=O)c3c4c([nH]n3)CCCC4)CCCC2	ZINC00055632
c1cnccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00055641
c1cc(c(cc1C(=O)[O-])F)C(F)(F)F	ZINC00057042
C[NH+](Cc1ccccc1N)C2CCCCC2	ZINC00057065
CCc1c(c(nc([nH+]1)N)N)c2ccc(cc2)Cl	ZINC00057464
c1ccc(cc1)Nc2ccccc2N	ZINC00058285
COc1ccc(cc1OC)/C=N/NC(=O)c2cccc(c2)F	ZINC00058608
Cc1ccc(cn1)C(=O)N/N=C/c2cc(c(cc2Cl)OC)OC	ZINC00058693
c1c2c(c(c(c1Cl)Cl)Cl)[nH]c(=S)o2	ZINC00058795
c1cc(c(cc1Cl)C2=NO[C@](C2)(C(F)(F)F)O)O	ZINC00061012
CCOC(=O)C1=C(Nc2ncnn2[C@H]1c3cccc(c3)O)C	ZINC00065540
C[C@@]1(C2(CCCCC2)OC(=O)N1Cc3ccccn3)O	ZINC00068486
c1c(cc(c(c1/C=[NH+]/C[C@H]2CCCO2)O)Cl)Cl	ZINC00068652
COc1cccc(c1OC)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00072461
c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)F	ZINC00072896
CSc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00073267
c1ccc2cc3c(cc2c1)C(=O)NC3=O	ZINC00074160
CC(=O)c1ccc(c(c1)F)N2CCN(CC2)C(=O)c3ccc(cc3)F	ZINC00074639
Cn1c(=O)c-2cc3ccccc3n(c2nc1=O)c4cccc(c4)Cl	ZINC00078723
CCn1c2ccccc2nc1[C@@H](c3ccccc3OC)O	ZINC00079109
c1ccc(cc1)c2c3cc(ccc3n4c2c(nnc4)[O-])[N+](=O)[O-]	ZINC00081250
c1ccc(c(c1)[C@@H](C(=O)Nc2ccc(cc2)Cl)O)Cl	ZINC00086324
c1c(nc(nc1Cl)N2CCCC2)N3CCCC3	ZINC00087028
CC(C)Nc1nc(nc(n1)N2CCCC2)N3CCCC3	ZINC00087389
CCc1c(c2nc(c(c(n2n1)C)C)C)C	ZINC00087528
CCOC(=O)N1CCN(CC1)C(=O)c2ccc(c(c2)C)[N+](=O)[O-]	ZINC00087935
c1c(cc(c2c1[nH]cn2)Cl)C(F)(F)F	ZINC00090518
Cc1cc(c(cc1Cl)Cl)S(=O)(=O)NN	ZINC00091288
Cc1cc2nc(c(c(n2n1)c3ccco3)C#N)SC	ZINC00094788
CCOC(=O)c1c[nH+]c2c(cccc2c1NC[C@H](C)O)C	ZINC00097660
CCSc1c2c(c(sc2ncn1)C)C	ZINC00098993
COc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2	ZINC00104010
c1cc(ccc1[C@@H]2CC2(Cl)Cl)C(=O)[O-]	ZINC00107866
c1cc(cc(c1)O)/C=N/NC(=O)c2c3c([nH]n2)CCC3	ZINC00109133
CC1(CC2=C([C@@H](n3c(ncn3)N2)c4cccc(c4)OC)C(=O)C1)C	ZINC00112851
c1ccc2c(c1)C(=O)c3ccncc3C2=O	ZINC00120276
CCN1c2ccc(c3c2c(ccc3)C1=O)O	ZINC00127447
c1ccc2c(c1)[C@@](C(=O)N2)([C@H]3CCCCCCC3=O)O	ZINC00128896
CC[C@@H](C)Nc1c2ccccc2ncn1	ZINC00132651
c1ccc(cc1)[C@H]2c3ccccc3C(=O)O2	ZINC00133390
Cc1ccsc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00136815
CC1(CC(CC([NH+]1C)(C)C)NC(=O)c2ccc(cc2)n3cnnn3)C	ZINC00140499
Cc1ccc(cc1)c2[nH]c(=O)c3cc4cc(c(cc4nc3n2)OC)OC	ZINC00140791
COc1ccc2c(c1)O[C@@]3(C(=C2)C(=O)NC(=O)N3)O	ZINC00141521
Cc1ccc2c(c1)c(ncn2)NCC(C)C	ZINC00144184
CC1=C([C@@H](n2c(ncn2)N1)c3cccc(c3)O)C(=O)OC(C)C	ZINC00147843
C[C@@H]1c2cc(c(cc2CCN1C(=O)CCCC(=O)[O-])OC)OC	ZINC00153185
C[C@@H]1c2cc(c(cc2CCN1C(=O)CSCC(=O)[O-])OC)OC	ZINC00153191
COc1ccc(cc1)n2c(nnn2)c3cnc(nc3C(F)(F)F)N	ZINC00153784
c1cc(cc(c1)O)NC(=O)C(=C(Cl)Cl)Cl	ZINC00159307
C[NH+]1CCN(CC1)c2nc(c(nn2)c3ccccc3)c4ccccc4	ZINC00159566
CN(C)c1ccc(cc1)/C=C/c2cc[n+](cc2)Cc3ccc(cc3)F	ZINC00163222
c1ccc2c(c1)C(=O)c3ccsc3C2=O	ZINC00164027
c1ccc(cc1)[C@]2(Nc3ccccc3C(=O)N2)CO	ZINC00168806
CCNS(=O)(=O)c1cccc2c1cccc2N	ZINC00173234
Cc1ccc2c(c1)c3c([nH]2)[C@@H](CCC3)O	ZINC00178917
c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)F	ZINC00179289
c1cnccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3	ZINC00179334
COc1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)OC	ZINC00180129
c1c(cncc1Br)C(=O)N[C@@H](CO)C(=O)[O-]	ZINC00182876
c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)O	ZINC00186403
c1cc(cc(c1)O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00186442
COc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3	ZINC00186461
CCOc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00186586
c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)O	ZINC00192269
CCOC(=O)c1cc2c(n(c1=O)c3ccc(cc3)C)CCCC2=O	ZINC00198367
c1ccc(cc1)[P@](=O)(Cc2ccccc2O)O	ZINC00198854
Cc1cc2nc(c(c(n2n1)N)c3ccccc3)C	ZINC00204973
Cc1cc2nc3c(c(n2n1)C(F)(F)F)CCCC3	ZINC00208567
Cc1ccc(cc1)C2=NN(C(=O)CC2)CCC(=O)NC3CCCC3	ZINC00221036
Cc1ccccc1[C@H]2C3=C(CCCC3=O)Nc4n2nc(n4)C(=O)OC	ZINC00222799
CCOC(=O)C1=CN(C=C(C1c2cccc(c2)O)C(=O)OCC)C	ZINC00223182
Cn1cccc1CC(=O)N/N=C/c2cc(c(cc2OC)OC)OC	ZINC00230833
Cn1cccc1CC(=O)N/N=C/c2ccc(c(c2)OC)OC	ZINC00230874
C/C(=C/C(=O)[O-])/C=C/c1cccs1	ZINC00231436
Cn1c2ccccc2nc1[C@@H](c3cccc(c3)OC)O	ZINC00233904
Cc1ccc(cc1)NC(=O)[C@@H]([C@H](C(=O)Nc2ccc(cc2)C)O)O	ZINC00241106
c1ccc2c(c1)c(c(c(=O)o2)N)Nc3ccccc3C(=O)[O-]	ZINC00244312
c1ccc(cc1)COn2cccc(c2=O)C(=O)Nc3cccc(c3)F	ZINC00254142
c1ccc(cc1)COn2cccc(c2=O)C(=O)Nc3ccccc3F	ZINC00254148
C[NH+]1CCN(CC1)NC(=O)c2ccc(cc2)c3ccccc3	ZINC00259013
c1ccc(cc1)N(c2ccccc2)C3=NC(=O)CS3	ZINC00266162
Cc1nc2cc(ccc2n1c3ccc(cc3)OC)C(=O)[O-]	ZINC00266835
Cc1nc2cc(ccc2n1c3cc(c(c(c3)OC)OC)OC)C(=O)[O-]	ZINC00266878
Cc1ccc(cc1)NN2C(=O)OC([C@@]2(C)O)(C)C	ZINC00268590
c1ccc(c(c1)C(=O)[O-])NN=C(C#N)C#N	ZINC00272282
Cc1[nH]c(=O)c2cc(ccc2n1)I	ZINC00281753
CC(C)C(=O)NCCc1ccc(c(c1)OC)OC	ZINC00284706
c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)c3ccc(cc3)[N+](=O)[O-]	ZINC00285062
c1cc(sc1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O	ZINC00297902
CCOC(=O)c1cnc(nc1N2CCCCC2)c3ccccc3	ZINC00299967
CN(C)c1nc(c(nn1)c2ccccc2)c3ccccc3	ZINC00300148
c1cc(c(cc1[NH+]2CCCCC2)N3CCCCC3)N	ZINC00300173
c1cc(ccc1CNC(=O)c2ccc(cc2)[N+](=O)[O-])Cl	ZINC00300618
COc1ccc(cc1OC)/C=N/NC(=O)[C@@H]2C[C@@H]2c3ccccc3	ZINC00301222
CN(C1CCCCC1)C(=O)c2ccc(cc2Cl)[N+](=O)[O-]	ZINC00305099
C[NH+]1CC[C@]23C=C(C(=O)C=C2[C@H]1Cc4c3c(c(cc4)OC)O)OC	ZINC00308444
Cc1c(c2ccccc2[nH]1)c3csc(n3)N	ZINC00314072
CN(c1nc(nc(n1)N2CCCCC2)N3CCCCC3)N	ZINC00315276
Cc1cc(c2c3c(cn2n1)c(=O)n(c(=O)n3C)C)c4ccccc4	ZINC00317276
c1ccc(cc1)C(=O)c2ccc(cc2)OC(=O)N3CCOCC3	ZINC00317278
Cc1c(c(nc(n1)N2CCCCC2)N3CCCCC3)C=O	ZINC00327565
CC1=NN([C@](C1)(c2ccc(cc2)F)O)C(=O)c3ccccc3	ZINC00328023
c1cnc(nc1Cl)N2CCCCC2	ZINC00331183
c1c[nH+]c(cc1N2CCCCC2)N3CCCCC3	ZINC00331466
c1cc([nH+]c(c1)N2CCCCC2)N3CCCCC3	ZINC00331468
CC(C)CCOc1ccc(cc1)C(=O)N2CCC[C@H]2C(=O)[O-]	ZINC00331977
Cc1cc(c2c(csc2n1)N)C(F)(F)F	ZINC00335583
c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)[N+](=O)[O-]	ZINC00336105
COc1ccc(cc1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00336117
c1ccc(cc1)SC(=O)c2ccccc2N	ZINC00336277
CCc1cccc2c1[nH]cc2C=O	ZINC00338895
Cc1ccc(cc1)C(=O)N2[C@@](CC(=N2)c3ccc(cc3)[N+](=O)[O-])(C)O	ZINC00342851
C[C@@H]1C[C@](CCC1(C)C)(C)C(=O)[O-]	ZINC00345858
C[NH+]1Cc2cccc3c2[C@@H](C1)Cc4ccccc4S3	ZINC00347774
COc1cc(c(cc1OC)OC)/C=N/NC(=O)Cc2cccs2	ZINC00350678
c1cnccc1C(=O)N2[C@](CC(=N2)C3CCCCC3)(C(F)(F)F)O	ZINC00355604
CNC(=O)c1cc2c(n(c1=O)c3ccccc3)CCCC2=O	ZINC00368768
CCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2O	ZINC00374682
c1ccnc(c1)/C(=N\NC(=S)N)/c2ccc(cc2)C(F)(F)F	ZINC00378072
COc1ccc(cc1)[C@H]2Cc3ccccc3C(=O)O2	ZINC00385668
c1ccc(cc1)[C@H]2CC(=O)N2c3ccccc3	ZINC00386647
c1cc(cc(c1)Cl)N2CCN(CC2)C(=O)CCC(=O)[O-]	ZINC00386690
Cc1cccc(c1)N2CCN(CC2)C(=O)CCC(=O)[O-]	ZINC00386725
Cc1cc(c(c(c1)O)C)O	ZINC00389849
CC(=O)N1c2ccccc2[C@@]3([C@@H]1CCCC3)C	ZINC00391674
CC(C)C[C@H](c1ccccc1)C(=O)[O-]	ZINC00393308
COc1ccc(cc1)[C@@H]2CCCC[C@H]2O	ZINC00393738
COc1ccc(cc1)[C@H]2CCCC[C@@H]2O	ZINC00393739
c1ccc(cc1)[C@H]2Cc3ccccc3C(=O)O2	ZINC00397632
CCOc1cc2c(cc1OCC)[nH]c(=O)[nH]c2=O	ZINC00398524
c1ccc(cc1)C(=O)N2CCC[C@H]([C@H]2COC(=O)c3ccccc3)O	ZINC00401596
C[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2[C@@H](C=C[C@H]3[C@H]1C5)O)OC	ZINC00402777
C[NH+]1CC[C@@]23c4c5ccc(c4O[C@@H]2C(=CC=C3[C@@H]1C5)OC)OC	ZINC00403600
CC1=C(C(C(=C(N1)C)C#N)c2cccc(c2)O)C#N	ZINC00408670
COc1ccc(cc1)NCc2ccccc2O	ZINC00409927
Cc1ccc(cc1)NCc2cc(=O)[nH]c3c2cccc3	ZINC00419037
c1ccnc(c1)/C=N/NC(=O)c2c3c([nH]n2)CCC3	ZINC00435382
COc1cc(ccc1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	ZINC00435386
c1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)N	ZINC00437832
c1ccc(c(c1)C(=O)c2ccc(cc2O)O)C(=O)[O-]	ZINC00439984
Cc1c(ccc(c1O)c2c(c[nH]n2)c3cnn(c3)c4ccccc4)OC	ZINC00458873
C[C@@H]1CN(C[C@H](O1)C)C(=O)/C=C/c2ccc(cc2)[N+](=O)[O-]	ZINC00464461
Cc1cc(nc(n1)N2CCCCC2)N3CCCCC3	ZINC00470274
c1ccc2c(c1)c(c[nH]2)C[C@H]3C(=O)N(C(=O)N3)c4ccc(cc4)F	ZINC00474617
Cc1c(c(ccn1)c2ccccc2)C(=O)C	ZINC00479991
c1ccc2c(c1)c(c[nH]2)C[C@@H]3C(=O)N(C(=N3)O)c4ccc(cc4)Cl	ZINC00485519
c1ccc2c(c1)c(c[nH]2)C[C@H]3C(=O)N(C(=O)N3)c4cccc(c4)Cl	ZINC00485539
C[NH+]1CC[C@]23C=C[C@H](C[C@H]2Oc4c3c(ccc4OC)C1)O	ZINC00487871
c1ccc2c(c1)c(c[nH]2)CCN3C(=O)c4ccc(cc4C3=O)C(=O)[O-]	ZINC00488396
CN1CC(=O)N2[C@H](C1=O)Cc3c4ccccc4[nH]c3[C@@H]2c5ccccc5	ZINC00489468
Cc1cccc(c1)C(=O)N/N=C/c2ccc(c(c2)OC)OC	ZINC00493635
C1CCC2(CC1)[C@@H]3CCCC[C@@]3(N(C(=S)N2)N)O	ZINC00495214
c1ccc(cc1)c2[nH]nc(n2)c3ccc(cc3)O	ZINC00505373
Cc1c(c(nc(n1)N)Cl)Cc2ccc(cc2)OC	ZINC00506492
CC1(C[C@@]2(CCCN3[C@@H]2SCC3=O)CCS1)C	ZINC00507667
C[NH+]1CC[C@@]23c4c5ccc(c4O[C@@H]2C(=O)CC[C@@H]3[C@@H]1C5)OC	ZINC00517836
Cc1ccc(cc1)n2c3cc(ccc3cc-4c(=O)[nH]c(=O)nc24)Cl	ZINC00521146
c1cc(ccc1n2c3cc(ccc3cc-4c(=O)[nH]c(=O)nc24)Cl)F	ZINC00521574
CCOC(=O)c1cnc(nc1N2CCCC2)n3cc(cn3)C	ZINC00526730
CCOC(=O)[C@@]1(CC(=O)OC1)c2nc(cs2)N	ZINC00530430
CCOC(=O)c1cnc(nc1N2CCCCC2)n3c(cc(n3)C)C	ZINC00532032
c1ccc(cc1)C[C@H]2c3c(n[nH]c3OC(=C2C#N)N)c4cccs4	ZINC00549930
CCc1c2cc(ccc2[nH]c1C(=O)OCC)[N+](=O)[O-]	ZINC00551737
CCOc1ccc(cc1OC)/C=N/NC(=O)Cc2cccs2	ZINC00554850
Cc1ccc(cc1)C(=O)N/N=C/c2ccc(c(c2)OC)OC	ZINC00586997
COC(=O)C1=CNC=C(C1c2cccc(c2)O)C(=O)OC	ZINC00619511
c1ccc(cc1)C2CCC(CC2)[NH+]3CCC(CC3)O	ZINC00757041
Cc1ccc(cc1)NC[C@H](c2ccc(cc2)OC)O	ZINC00790529
CCNc1nc(nc(n1)N2CCCC2)N3CCCC3	ZINC00818584
CC(C)CNC(=O)c1ccccc1OC	ZINC00831987
Cc1ccc(cc1)[C@H]2N(c3ccccc3C(=O)N2C)C	ZINC00843023
CN1c2ccccc2C(=O)N([C@H]1c3ccc(cc3)F)C	ZINC00843027
Cc1c2cc(ccc2[nH]c1C=O)OC	ZINC00873712
CC(=CCc1c(c2c(=O)c(coc2c3c1OC(C=C3)(C)C)c4ccc(c(c4)O)O)O)C	ZINC00899897
c1ccc(cc1)C[n+]2ccc(cc2)c3cc[n+](cc3)Cc4ccccc4	ZINC00967524
c1ccc(cc1)C#Cc2ccccc2N	ZINC00983974
c1cc(ccc1N[C@H]2CS(=O)(=O)C[C@@H]2O)Cl	ZINC00988923
Cc1c(cccc1Cl)N[C@H]2CS(=O)(=O)C[C@@H]2O	ZINC00988927
Cc1c(c(no1)c2ccccc2)c3ccnc(n3)NC(=O)C	ZINC01031908
c1ccc(c(c1)/C=C/c2ccncc2)O	ZINC01036768
c1c(c(cc(c1Cl)Cl)Cl)S(=O)(=O)N	ZINC01048260
CC[C@@]1([C@@](N(C(=O)O1)Nc2ccccc2)(C)O)C	ZINC01064111
Cc1cccc(c1NC(=O)[C@H]2CC(=O)N(C2)Cc3ccccc3)C	ZINC01072160
C[C@H]1CC(Nc2c1cc(cc2)O)(C)C	ZINC01076000
C[C@@H]1CN(C[C@H](O1)C)C(=S)c2cc(c(c(c2)OC)O)OC	ZINC01076840
c1ccc(cc1)c2c(c(nnc2c3ccccc3)SCC(=O)N)C#N	ZINC01106203
CCc1c(c2ccccc2[nH]1)C	ZINC01226820
CC[N+]1(Cc2cc3ccccc3c(c2C1)c4ccccc4)CC	ZINC01244188
CCOC(=O)c1cnc(nc1N2CCCC2)c3ccccc3	ZINC01386415
c1cc(c2ccc3cccn3c2c1)N	ZINC01386521
CN(Cc1ccccc1)c2c(c(nc(n2)N)Cl)C=O	ZINC01387152
Cn1c(c(c(n1)Cl)Cl)Cl	ZINC01387195
COc1cc(c(cc1Cl)Cl)N	ZINC01388874
c1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccc(cc3)Cl	ZINC01391153
Cc1ccc(cc1)NC(=S)N[C@H](Cc2ccccc2)CO	ZINC01393003
Cc1ccc(cc1)c2ncc(c(n2)c3ccncc3)C(=O)N	ZINC01393478
Cc1cc2nc(c(c(n2n1)C)Cc3cccc(c3)F)C	ZINC01394722
Cc1cc2nc(c(c(n2n1)N)c3ccc(cc3)OC)C	ZINC01394939
C=CCn1cccc(c1=O)C(=O)Nc2ccc(cc2)F	ZINC01400202
C=CCn1cccc(c1=O)C(=O)Nc2ccc(cc2)Cl	ZINC01400204
CS(=O)(=O)c1cnc(nc1N2CCCC2)c3ccccc3	ZINC01402095
CNc1nc(c(c(n1)Cl)SC)Cl	ZINC01403289
Cc1c(c(nc(n1)C)Cl)I	ZINC01406325
c1cc2c(cc1Cl)ncnc2NCC3CC3	ZINC01406332
Cc1ccc(c2c1nc(cc2Cl)C)N	ZINC01420952
C[C@]1([C@@](N(C(=O)O1)N(C)C)(C)O)Cc2ccccc2	ZINC01422377
c1ccc(cc1)OCC(=O)N2CCN(CC2)c3nc4ccccc4o3	ZINC01424657
c1cc(cc(c1)F)C(=O)Nc2cnn(c2)CCCC(=O)[O-]	ZINC01424788
COc1ccc(cc1OC)[C@@H]2CCCC[C@H]2O	ZINC01431470
Cc1cccc(c1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O	ZINC01450902
c1ccc(c(c1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O)Cl	ZINC01462057
Cc1cccc2c1[nH]cc2	ZINC01494930
c1ccc(cc1)C2=C3[C@@H](Cc4c2cccc4)CNC3=O	ZINC01561630
C[NH+](C)CCCCCC[NH3+]	ZINC01562159
C[C@@H]1CCC[C@H](CC1)CCO	ZINC01562261
c1cc(ccc1n2cnc3c2[nH]c(=O)[nH]c3=O)Cl	ZINC01562344
C[C@@]12C[C@@H](Cc3c1cc(cc3)O)C[NH+](C2)C	ZINC01566231
c1c(c(cc(c1Cl)Cl)Cl)S(=O)(=O)NN	ZINC01569058
COP(=S)(OC)Oc1ccc(cc1)S(=O)(=O)N	ZINC01569224
CCc1c(c(nc(n1)N)N)c2ccc(c(c2)N)Cl	ZINC01572284
CCc1c(c(nc(n1)N)N)c2ccc(c(c2)NC(=O)C)Cl	ZINC01572285
c1ccc(cc1)[C@@H]2CCCC[C@H]2O	ZINC01577064
c1ccc(cc1)[C@H]2CCCC[C@@H]2O	ZINC01577065
c1ccc(cc1)[C@@H]2CCCC[C@@H]2O	ZINC01577066
C[NH+](C)CCN(CC[NH+](C)C)C=O	ZINC01577507
Cc1cccc2c1c[n+]3ccccc3c2c4ccccc4	ZINC01578104
c1cc2c3c(c1)C(=O)[C@H]4[C@]3(CCCC2)C(=O)NC4=O	ZINC01580458
Cc1cccc2c1[nH]c(c2)C	ZINC01580838
Cc1ccc2c(c1)c(c3c(n2)[nH]c(=O)[nH]c3=O)C(=O)N	ZINC01580881
C[C@@H]1c2ccccc2C3=C1CC[NH+](C3)C	ZINC01584465
CCc1c(c(nc(n1)N)N)c2ccc(c(c2)N)OC	ZINC01588897
C[C@@H](CCC(=O)[O-])C1CCCC1	ZINC01589731
c1ccc(cc1)C(=O)CCCCCC(=O)[O-]	ZINC01594493
CC[C@]12CC(=O)CC[C@@H]1CCc3c2c(c(cc3)OC)OC	ZINC01595201
c1ccc(cc1)[C@@H](CNc2cccc(c2)Cl)O	ZINC01602637
C[NH+]1CC[C@@H](C1)c2cccc(c2)OC	ZINC01605940
COc1ccccc1[C@@]2(CCCC[C@H]2Cl)O	ZINC01615127
CCCc1c(cccc1O)O	ZINC01615703
C[NH+]1CC[C@@]23[C@@H]1Cc4ccc(c(c4C2=CC(=O)CC3)O)OC	ZINC01622457
c1c(cc(c(c1Cl)OC[C@H](CO)O)Cl)Cl	ZINC01624894
c1ccc(c(c1)C[NH2+]Cc2ccccc2O)O	ZINC01628259
Cc1nc(c(c(n1)Cl)Cl)Cl	ZINC01633981
